id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
400,0.0,0.33,better than europe,better than europe,better than rubber
404,0.14,0.0,they were pretty much in good taste,they were pretty much in good tastes,they were pretty much in good taste
411,0.25,0.0,see things like that,c things like that,see things like that
430,0.2,0.1,there are no more vehicle tokens spread across the map,there are no more vehicle tokens straight in the map,there are no more vehicle tokens spread out the map
431,0.12,0.0,where is the evidence that they possess consciousness,where is the evidence that they possess consciences,where is the evidence that they possess consciousness
432,0.22,0.0,nevertheless i roll my eyes as i get up,nevertheless i role my house as i get up,nevertheless i roll my eyes as i get up
433,0.38,0.5,people will do humiliating grotesque things for ambition,people will do immunity protect things for addition,people will do much to protect things for a
435,0.44,0.11,they send off emissaries to start new cancer colonies,they said off imageries ou start new cancer colleges,they set off emissaries to start new cancer colonies
436,0.09,0.0,you actually look forward to foxes or raccoons raiding your garbage,you actually look forward to foxes or records raiding your garbage,you actually look forward to foxes or raccoons raiding your garbage
440,0.15,0.0,sign up for our daily newsletter of the top stories in courier country,sign up for our daily newsletter of the top stories in korea wanting,sign up for our daily newsletter of the top stories in courier country
441,0.22,0.11,such threats are a violation of the un charter,such threats are a violation of the u n charter,such threats are a violation of the union charter
442,0.25,0.0,never miss a moment,never makes a moment,never miss a moment
467,0.25,0.0,basically the guy commits,basically the guy commenced,basically the guy commits
469,0.6,1.0,waves born exercising boat grateful,was born exercising but crystal,way more exciting but stressful
470,0.4,0.6,shop spraying mathematics developing nashville,shop string mathematics developing cancel,shop storing mathematics developer castle
471,0.8,1.0,run bargains hopeless persists meals,one bothers unless %percent meals,one bothers endless percent miles
478,0.6,0.8,kept touring shallows hang everyone,cat during gallows hang everyone,but during sal's thing everyone
479,0.6,0.8,terms news earning by commitment,does nose owning by commitment,dog's nose honoring my commitment
480,0.25,0.5,grandparents engagement throw stage,grandparents engagement through stage,grandparents enjoyment through stage
481,0.2,0.6,elk diplomatic plates reimbursed names,elk diplomatic please reimbursed names,all diplomatic please reboot names
485,0.2,0.8,grade nucleus arrive excess destroying,grade nucleus arrive access destroying,great necklace of axes destroying
486,0.25,0.5,bonsai meeting ghost mainly,bonsai meaning ghost mainly,bonsai meaning just mainly
487,0.2,0.4,resale telling serious understanding moral,resell telling serious understanding moral,we sell telling serious understanding moral
488,1.0,0.8,democratically reduces carbon cramped baked,differently produces common ground paint,drastically reduces common red paint
489,0.25,0.0,we're paying basketball people,we're being basketball people,we're paying basketball people
493,0.25,0.0,either savings or investment,either servants or investment,either savings or investment
494,0.14,0.0,magnified vision able to see at night,mystified vision able to see at night,magnified vision able to see at night
499,0.14,0.0,live without dessert for the most part,live without dissent for the most part,live without dessert for the most part
502,0.1,0.0,she'd just get on the first step and lay down,she just get on the first step and lay down,she'd just get on the first step and lay down
503,0.0,0.12,it seems like you get hit the worst,it seems like you get hit the worst,it seems like you get it the worst
508,0.29,0.14,i'm tired of being a pacifist though,i'm kind of being a pessimist though,i'm kind of being a pacifist though
517,0.25,0.0,then reboot the system,then rebuild the system,then reboot the system
518,0.17,0.08,the product i tried was their mini corn dogs which were superb,the product i tried was their mini corn dog which were supposed,the product i tried was their mini corn dog which were superb
519,0.11,0.0,vancouver teacher faces disciplinary action for harassing gay student,decatur teacher faces disciplinary action for harassing gay student,vancouver teacher faces disciplinary action for harassing gay student
528,0.1,0.0,your birthday and age won't be visible to other users,your birthing and age won't be visible to other users,your birthday and age won't be visible to other users
529,0.2,0.0,please give me a paramedic,please give me a parenting,please give me a paramedic
531,0.18,0.27,this week's pick is an algorithm that can diagnose a stroke,this week's pick is an accusation that can diagnose a drug,this week's pic is an angle that can diagnose a drug
533,0.25,0.38,the birch canoe slid on the smooth planks,the birch canoe leaned on the smooth place,the birch canoe leaned on the school's place
534,0.25,0.0,glue the sheet to the dark blue background,glue the sheet to the trunk blue placard,glue the sheet to the dark blue background
538,0.43,0.0,the juice of lemons makes fine punch,the change of limits makes fine points,the juice of lemons makes fine punch
540,0.62,0.25,the hogs were fed chopped corn and garbage,the hands were found shocked cord and carbon,the hands were fed chopped corn and cabbage
543,0.22,0.11,the fish twisted and turned on the bent hook,the french twisted and turned on the bait hook,the fish twisted and turned on the boat hook
544,0.0,0.1,press the pants and sew a button on the vest,press the pants and sew a button on the vest,press the bass and sew a button on the vest
549,0.12,0.0,the colt reared and threw the tall rider,the cold reared and threw the tall rider,the colt reared and threw the tall rider
552,0.0,0.14,hoist the load to your left shoulder,hoist the load to your left shoulder,once the load to your left shoulder
553,0.0,0.33,a vegetable garden,a vegetable garden,vegetable garden
564,0.0,0.17,the productivity and the training costs,the productivity and the training costs,the productivity and the training cost
567,0.0,0.2,the air is always cool,the air is always cool,the hair is always cool
576,0.62,0.25,the crooked maze failed to fool the mouse,the hurricane makes field to full the most,the hockey mask failed to fool the mouse
577,0.17,0.0,adding fast leads to wrong sums,ending fast leads to wrong sums,adding fast leads to wrong sums
581,0.29,0.0,march the soldiers past the next hill,much the soldiers passed the next hill,march the soldiers past the next hill
582,0.29,0.14,a cup of sugar makes sweet fudge,a cup of city makes sweet fun,a cup of city makes sweet fudge
586,0.62,0.12,use a pencil to write the first draft,used a a bissell to right the first trap,use a pencil to write the first trap
587,0.12,0.0,he ran half way to the hardware store,he ran half way to the outerwear store,he ran half way to the hardware store
590,0.14,0.0,cars and busses stalled in snow drifts,cars and buses stalled in snow drifts,cars and busses stalled in snow drifts
593,0.22,0.11,the dune rose from the edge of the water,the tune rose from the head of the water,the moon rose from the edge of the water
594,0.1,0.0,those words were the cue for the actor to leave,those words were the que for the actor to leave,those words were the cue for the actor to leave
595,0.33,0.0,a yacht slid around the point into the bay,i got led around the point into the bay,a yacht slid around the point into the bay
596,0.12,0.0,the two met while playing on the sand,the two met while lying on the sand,the two met while playing on the sand
597,0.38,0.0,the ink stain dried on the finished page,the week soon tried on the finished page,the ink stain dried on the finished page
599,0.29,0.0,the lease ran out in sixteen weeks,the least read out in sixteen weeks,the lease ran out in sixteen weeks
618,0.25,0.0,thank you for participating,thank you for persistently,thank you for participating
663,0.1,0.2,i get less time to be with children these days,i get less time to be with children this days,i get less time to be with children this day
687,0.4,0.2,drug newspaper you'll report baby,truck newspaper yule report baby,from newspaper you'll report baby
689,0.2,0.8,avoid anymore we'd guys oil,avoid anymore weed guys oil,avoid any more white guys all
690,0.17,0.0,funny past decisions dallas future bring,money past decisions dallas future bring,funny past decisions dallas future bring
692,0.0,0.2,child boys classical clothes team,child boys classical clothes team,sad boys classical clothes team
694,0.2,0.0,course girl exactly fan watching,coarse girl exactly fan watching,course girl exactly fan watching
696,0.17,0.33,mother testing second easier program number,mother testing second easier from program number,mother testing circuit easier from program number
697,0.2,0.4,coming sun york favorite food,coming soon york favorite food,coming soon your favorite food
698,0.4,0.6,grew spend men necessarily you've,you spend many necessarily you've,go spend mean necessarily you
699,0.4,0.2,vote month expected fan nursing,foot month expected five nursing,vote month expected for nursing
700,0.2,0.4,thank york catch along set,thank york can along set,think york can along set
701,0.2,0.4,mother team system amount texas,mother team system amount taxes,other team system amount taxes
708,0.11,0.0,i know what the deal was in the past,i knew what the deal was in the past,i know what the deal was in the past
711,0.25,0.0,they gave variety of benefits to their employees,they gave variety of benefits to their employee and,they gave variety of benefits to their employees
724,0.14,0.0,especially if you are coming this weekend,exceptionally if you are coming this weekend,especially if you are coming this weekend
726,0.14,0.0,i will give you mine for free,i will give you one for free,i will give you mine for free
727,0.0,0.17,how much is your card worth,how much is your card worth,how much is your car worth
731,0.25,0.0,stones with runes on them served as checkpoints,stones with ruins on them served as jumps,stones with runes on them served as checkpoints
736,0.17,0.0,it seems like you walk quicker,it seems like you work quicker,it seems like you walk quicker
739,0.17,0.0,join us for an upcoming event,join us for and upcoming event,join us for an upcoming event
740,0.14,0.0,do you believe in the dallas cowboys,do you believe in the dallas compares,do you believe in the dallas cowboys
744,0.25,0.5,real rough type camping,real rough time camping,real rough time coming
746,0.17,0.0,they said it was really riveting,they said it was a really riveting,they said it was really riveting
763,0.29,0.0,i often listen to this wonderful music,i i happened listen to this wonderful music,i often listen to this wonderful music
783,0.4,0.2,this is teacher's favourite topic,this is teachers' favorite topic,this is teacher's favorite topic
803,0.0,0.2,i'm watching my kid's education,i'm watching my kid's education,i'm watching my kids' education
804,0.0,0.17,i bought these new clothes today,i bought these new clothes today,i bought this new clothes today
826,0.14,0.0,evening is the best time for reading,evening is the best time for wedding,evening is the best time for reading
842,0.0,0.17,that woman will check this fact,that woman will check this fact,that woman will take this fact
848,0.11,0.22,the baby will stick its head in the food,the baby will stick its is in the food,the baby will stick it is in the food
849,0.1,0.0,how often do you go for a walk with him,how husband do you go for a walk with him,how often do you go for a walk with him
850,0.4,0.0,we should turn around and pick her up from school,we should guard aground and big or up from school,we should turn around and pick her up from school
851,0.14,0.29,the car will go north from here,the car will go north the here,the car will go for the here
856,0.3,0.0,can you put the book down for a few minutes,can you book the book can for a cool minutes,can you put the book down for a few minutes
859,0.14,0.0,we talked about this the other day,we we talked about this the other day,we talked about this the other day
868,0.22,0.11,do you know that i've never seen a monkey,do you know that have never seen a puppy,do you know that i've never seen a puppy
873,0.2,0.0,if you haven't slowed down,if you haven't cleaned down,if you haven't slowed down
874,0.0,0.2,keeps to their own turf,keeps to their own turf,keep to their own turf
887,0.0,0.12,i mean i've haven't had it that long,i mean i've haven't had it that long,i mean i haven't had it that long
889,0.0,0.2,check out our free versions,check out our free versions,check out our free version
891,0.17,0.0,i'm in charge of raising them,i'm in choice of raising them,i'm in charge of raising them
903,0.0,0.22,employees should do some field work when they join,employees should do some field work when they join,employees should do some field work when the sun
906,0.11,0.0,the old newspaper will have a report on this,the old newspaper will have a rewrite on this,the old newspaper will have a report on this
910,0.33,0.17,the work gets easier with experience,the quick kids easier with experience,the work is easier with experience
921,0.14,0.29,these are made with a flour tortilla,these are made with a flour tamil,these are made with a flower material
936,0.17,0.0,there were no reports of casualties,there were no repairs of casualties,there were no reports of casualties
942,0.33,0.0,it is like winning the lottery,it is like meeting the literally,it is like winning the lottery
946,0.4,0.6,the movie is slow burning,the moving is slow but,the moving is so funny
947,0.1,0.2,we don't listen to any elevator music at my house,we don't listen to any invented music at my house,we don't listen to any of the music at my house
950,0.6,0.0,you came out on top,you can count on come,you came out on top
955,0.43,0.0,the recipe doesn't require kneading the dough,the recipe lessons require meeting the two,the recipe doesn't require kneading the dough
957,0.12,0.0,the ranch dressing goes along well with that,the ranch dressing was along well with that,the ranch dressing goes along well with that
962,0.29,0.0,especially with butter and honey on them,expel with butter an honey on them,especially with butter and honey on them
970,0.3,0.0,i miss the intellectual stimulation of taking classes in college,i mix the interracial implications of taking classes in college,i miss the intellectual stimulation of taking classes in college
989,0.33,0.78,you have a choice of which car to buy,you have a choice what store to buy,you is just what for to be
991,0.6,0.0,it's been kind of scary,it's been set up,it's been kind of scary
993,0.44,0.0,that is why they're kind of behind on work,that is why their count is behind at work,that is why they're kind of behind on work
997,0.11,0.0,i just want to enjoy myself a little bit,i just want to enjoy making a little bit,i just want to enjoy myself a little bit
999,0.62,0.25,it costs ten or twenty dollars per ounce,it costs get or walking dallas buy s,it costs ten or twenty dollars to s
1000,0.14,0.0,of course it's real convenient for you,of nice it's real convenient for you,of course it's real convenient for you
1002,0.29,0.14,and my insurance is about to expire,in my lawrence is about to expire,my insurance is about to expire
1003,0.0,0.3,i sew clothes for them every once in a while,i sew clothes for them every once in a while,so close for them every once in a while
1005,0.3,0.0,he won a free trip or something along those lines,he won a free trip or something really this large,he won a free trip or something along those lines
1009,0.5,0.83,i studied environmental engineering in college,i started violator generic in college,i tied for a better generic in college
1010,0.14,0.29,my son really wanted a pet bird,my son really wanted a big bird,my son really wanted a big mac
1012,0.75,0.58,have you seen that one about survivors in the amazon rain forest,have you set what butterflies the images may very,have you said what about surviving the amazon may vary
1024,0.1,0.0,i went back to school and got my master's degree,i went back to school and got my masters degree,i went back to school and got my master's degree
1038,0.71,0.57,occasionally the conversation turns into an argument,casually the conversation takes into a and automate,occasionally the conversation takes to a an element
1040,0.2,0.1,a guy that i know just got a job there,a girl that i know just got a time there,a guy that i know just got a time there
1041,0.17,0.0,i hope you all enjoy this,i hope you all enjoying this,i hope you all enjoy this
1045,0.14,0.0,she'll be two years old in july,she'll be two years old in,she'll be two years old in july
1091,0.0,0.2,vegetables grow in the fields,vegetables grow in the fields,vegetables grow in the fence
1092,0.14,0.0,it's kind of like drawing this line,it's kind of like trying this line,it's kind of like drawing this line
1098,0.4,0.2,they needed a smaller setting,they didn't a smaller stating,they didn't a smaller setting
1105,0.4,0.0,it's up by green bay,it's up by reed b,it's up by green bay
1107,0.12,0.0,i make a lot of my christmas presents,i make a lot of my christmas versions,i make a lot of my christmas presents
1112,0.2,0.1,my brother is five years younger than my sister is,my pretty is five ways younger than my sister is,my printer is five years younger than my sister is
1113,0.33,0.0,it is fine,it is find,it is fine
1115,0.3,0.1,he scored better than we did on the final exam,he cleared better that we did on the final except,he scored better than we did on the final set
1117,0.2,0.0,yeah i really mean that,there i really mean that,yeah i really mean that
1122,0.33,0.67,i was accused of selling drugs,i was accused of silly dogs,i was a kind of silly dogs
1123,0.0,0.11,what was the actual starting point for the story,what was the actual starting point for the story,what was the actually starting point for the story
1128,0.0,0.11,i try not to use insecticides on my lawn,i try not to use insecticides on my lawn,i try not to use insecticide on my lawn
1143,0.17,0.0,give a voice to the voiceless,give a voice to the restless,give a voice to the voiceless
1144,0.1,0.0,there has been a change in the price of oil,there has been a change in the price of all,there has been a change in the price of oil
1145,0.0,0.25,i absolutely loved it,i absolutely loved it,i absolutely love it
1146,0.29,0.43,either way they always spell it wrong,either way they always build it way,other way they always did it were
1150,0.14,0.0,i was arrested for something really minor,i was arrested for something really border,i was arrested for something really minor
1152,0.12,0.0,they live in a little white frame house,they live in a little white frame else,they live in a little white frame house
1154,0.12,0.0,they fell out because of his drug addiction,they fell out because of his drug addition,they fell out because of his drug addiction
1184,0.22,0.0,and i think he's as guilty as the devil,and i think he's as country as the never,and i think he's as guilty as the devil
1191,0.09,0.0,so imagine all of his lines being spoken in that voice,so abolished all of his lines being spoken in that voice,so imagine all of his lines being spoken in that voice
1213,0.25,0.0,my husband travels frequently,my instant travels frequently,my husband travels frequently
1220,0.17,0.0,i had found an entry point,i had found and entry point,i had found an entry point
1223,0.2,0.0,business as usual for traders,basis as usual for traders,business as usual for traders
1224,0.17,0.0,they gave us a special deal,they gave us a pistol deal,they gave us a special deal
1230,0.5,0.0,a fairly good amount,a family could amount,a fairly good amount
1246,0.4,0.6,satan rejoiced with his birth,sentence regards with his birth,set a record with his birth
1251,0.11,0.0,i would reconsider where i was buying it from,i would wintersteen where i was buying it from,i would reconsider where i was buying it from
1252,0.25,0.0,it was written at a third grade level,it was rented at a third one level,it was written at a third grade level
1255,0.2,0.0,do you like to travel,do you like to revel,do you like to travel
1258,0.0,0.17,you don't need a personal one,you don't need a personal one,you don't need a person one
1259,0.11,0.22,the measure passed the house by a landslide vote,the measure passed the house by a landed vote,the measure passed the house by a london move
1261,0.11,0.0,why is this such an unusual thing to do,why is this such an occasional thing to do,why is this such an unusual thing to do
1263,0.4,0.3,we have a dog too so that adds to it,we have a dog to so not have to in,we have a dog too so not as to in
1266,0.0,0.29,i don't know if it's that serious,i don't know if it's that serious,i don't know if in that area
1267,0.14,0.29,i'm going to visit florida and louisiana,i'm going to visit verity and louisiana,i'm going to visit family in louisiana
1268,0.14,0.0,cars have come down in price significantly,cars have come down in price,cars have come down in price significantly
1270,0.15,0.08,i kind of wish that they had a little league for the boys,i kind of wish that they had a little link for the mars,i kind of wish that they had a little look for the boys
1271,0.44,0.33,and that is the best book to go through,and not is the must be to log through,and not is the best way to learn through
1274,0.43,0.14,the rich people started leaving the city,the rest people started living the data,the right people started leaving the city
1280,0.1,0.0,but it didn't get the upper part of my body,but it didn't get the hopper part of my body,but it didn't get the upper part of my body
1289,0.12,0.0,some of the students are failing the class,some of the students are feeling the class,some of the students are failing the class
1312,0.17,0.0,i'm getting a gut feeling here,i'm getting a got feeling here,i'm getting a gut feeling here
1314,0.0,0.33,while it's healing take it easy,while it's healing take it easy,well it's only take it easy
1315,0.4,0.0,so that's got everybody excited,so that's not verbally excited,so that's got everybody excited
1316,0.14,0.0,didn't mean to cut you off there,didn't mean to get you off there,didn't mean to cut you off there
1320,0.22,0.0,keeping things concise is usually the way to go,company things controls is usually the way to go,keeping things concise is usually the way to go
1323,1.0,0.86,i hope everything works out up there,is it easing those in all their,if anything goes on in there
1324,0.83,0.67,are you pleased with this decision,if you leave the keys ignition,he leaves with his decision
1327,0.33,0.44,in other words there is a choice to make,in other words the is a joy to work,in other words the is going to work
1329,0.67,0.33,that is horrible,this is several,that is over
1332,1.0,0.0,not too long ago,but to cycle,not too long ago
1333,0.62,0.12,she has had really good luck this year,she is an please don't look this year,she has had pretty good luck this year
1334,0.4,0.0,i went back to school and got my master's degree,i went back to store it at my sisters degree,i went back to school and got my master's degree
1335,0.29,0.0,i hope everything works out up there,i hope other thing works out up there,i hope everything works out up there
1341,0.0,1.0,that is horrible,that is horrible,that is quite a bit
1342,0.22,0.44,fill the jar to the top with boiling water,fill the try to the top with playing water,while they try to the time with boiling water
1346,0.3,0.0,i went back to school and got my master's degree,i went back to store i got my recent degree,i went back to school and got my master's degree
1349,0.12,0.0,ethical and religious views on need and pleasure,lexical and religious views on need and pleasure,ethical and religious views on need and pleasure
1351,0.2,0.0,the government offers financial services,the bombardment offers financial services,the government offers financial services
1353,0.33,0.0,people are dropping out of school,people are jumping out of your,people are dropping out of school
1356,0.0,0.14,i was tired during that whole month,i was tired during that whole month,i was tired during that all month
1365,0.38,0.0,the first demonstration of a touch screen display,the first demonstration of a charge when displayed,the first demonstration of a touch screen display
1370,0.11,0.0,not with all the other things going on today,not with all the other things going on detail,not with all the other things going on today
1377,0.29,0.0,whatever they tell you is a lie,whatever they done you is a liar,whatever they tell you is a lie
1378,0.5,0.75,they can't do as good of a job,they can't to have to of a game,they get to have two of them
1379,0.25,0.0,it's a nice place,it's a guy's place,it's a nice place
1382,0.45,0.55,if their skirts are above the knee they are too short,if their kids are approved the money they are to write,if their kids are up to the mean they are to write
1383,0.12,0.0,how long have you lived in this house,how long have you lived in this off,how long have you lived in this house
1384,0.67,0.5,especially if he's a repeat offender,exceptionally of is a pretty offender,essentially it is a repeat offender
1386,0.6,0.2,some new types of furniture,some new tasks are manager,some new piece of furniture
1387,0.25,0.0,that's where i am,that's where i have,that's where i am
1388,0.29,0.43,it was about nine o'clock at night,it was before nine along at night,it was before man along at night
1389,0.62,0.75,how is your boss at your new job,r is so bugged at your move from,ar is so bad that your move from
1391,0.33,0.0,my father is the man in the corduroy jacket,my something is the man in the garden dragon,my father is the man in the corduroy jacket
1396,0.25,0.0,keep it clean please,keep it clean place,keep it clean please
1397,0.2,0.1,i think it's good that you see your cousins frequently,i think it's just that you see your cousins regularly,i think it's good that you see your cousins regularly
1399,0.0,0.25,i don't know what you think about that,i don't know what you think about that,i don't know what the thing about that
1400,0.75,0.62,eat slowly chew well and enjoy the meal,it sorely drew well and agreed the male or,it slowly grew well and agree the tell all
1401,0.25,0.0,i'd like to see silence of the lambs,i'd like to see talents of the knives,i'd like to see silence of the lambs
1404,0.17,0.0,just forty miles north of here,just funny miles north of here,just forty miles north of here
1407,0.2,0.4,losers all the way around,listens all the way around,this is all the way around
1408,0.5,0.33,i drove a cadillac back then,i drove a donnelly but i then,i drove a tunnel but then
1411,0.0,0.2,it doesn't seem that long,it doesn't seem that long,it doesn't seem that low
1415,0.43,0.14,the only other place i've ever vacationed,the only other place i have ever forgiven,the only other place i've ever vacation
1417,0.25,0.12,they had snacks and story time and everything,they had scouts and story time and impressing,they had sex and story time and everything
1419,0.43,0.29,not just with the visit to pittsburgh,don't just with the pressing to pencil,not just with the pressing to pixel
1423,0.5,0.33,barometric pressure drops during a tornado,parametric pressure cracks during a cornish,barometric pressure drops during the morning
